path,expected_sha256,observed_sha256,expected_bytes,observed_bytes,match
fits/rho0p9_seed17_width64_constant.json,73c07837eff8d516c690d0d15a18a2546bb2cc65ee460377a4409fe9273c3f32,73c07837eff8d516c690d0d15a18a2546bb2cc65ee460377a4409fe9273c3f32,3516,3516,True
fits/rho0p9_seed18_width64_constant.json,d2a08e1c92762abe1747f93eefcdb94525e27184e66a93609e31426bd60c8a54,d2a08e1c92762abe1747f93eefcdb94525e27184e66a93609e31426bd60c8a54,3580,3580,True
fits/rho0p9_seed19_width64_constant.json,951eed022a7c7a3f4a8a2056d139b62a4376f8b3f40caf0ed462affeb07e6e7f,951eed022a7c7a3f4a8a2056d139b62a4376f8b3f40caf0ed462affeb07e6e7f,3618,3618,True
fits/rho0_seed00_width64_constant.json,89ce8ba9f7690f95ff9b8638169efc7afd2929f6bbf1d872edd4fdb8552791f6,89ce8ba9f7690f95ff9b8638169efc7afd2929f6bbf1d872edd4fdb8552791f6,3478,3478,True
fits/rho0_seed01_width64_constant.json,4a479b094f466be8552e9c7fcec13a2d1f097de88b4ec030b77dfc4b6a580e3f,4a479b094f466be8552e9c7fcec13a2d1f097de88b4ec030b77dfc4b6a580e3f,3465,3465,True
fits/rho0_seed02_width64_constant.json,3b1695cea50c9ae714b4fdcefc04dd46364c844e438cc0fd358d94bede5b6db3,3b1695cea50c9ae714b4fdcefc04dd46364c844e438cc0fd358d94bede5b6db3,3497,3497,True
fits/rho0_seed03_width64_constant.json,abbf494c46dcf9d16e3619d729bc729b373b91cd886edcb63f3ad7df720dab90,abbf494c46dcf9d16e3619d729bc729b373b91cd886edcb63f3ad7df720dab90,3520,3520,True
fits/rho0_seed04_width64_constant.json,f57055035787d46a500147db42c23cf56e8f1acf7f3e2a611c776e0bc75fec79,f57055035787d46a500147db42c23cf56e8f1acf7f3e2a611c776e0bc75fec79,3525,3525,True
fits/rho0_seed05_width64_constant.json,d970e4996a647c943d10592dce13ce7dc70dd6c3815949b34d465c32e238a444,d970e4996a647c943d10592dce13ce7dc70dd6c3815949b34d465c32e238a444,3490,3490,True
fits/rho0_seed06_width64_constant.json,da38efcfa08f555b3e22adfb08e22e3c9012c86fc8757f708308f2b565d8e4a5,da38efcfa08f555b3e22adfb08e22e3c9012c86fc8757f708308f2b565d8e4a5,3478,3478,True
fits/rho0_seed07_width64_constant.json,ea86a6d7dea289f67cf33c24cc5d2b3a55f0888cbb3a19fba6c3abeccd2a612e,ea86a6d7dea289f67cf33c24cc5d2b3a55f0888cbb3a19fba6c3abeccd2a612e,3546,3546,True
fits/rho0_seed08_width64_constant.json,386f53fdfcb3eaef1fe8d46ee1ca0c9004444cd0cf7a86359a5c0a22c5440975,386f53fdfcb3eaef1fe8d46ee1ca0c9004444cd0cf7a86359a5c0a22c5440975,3465,3465,True
fits/rho0_seed09_width64_constant.json,ca07600887e825af3783a9ff0810bd5b6985eb702da6fe3481afee9403a1d465,ca07600887e825af3783a9ff0810bd5b6985eb702da6fe3481afee9403a1d465,3483,3483,True
fits/rho0_seed10_width64_constant.json,677ec39e55d9dca2b9329992ea5d794b4f775aed28717499698cc9683acec9e6,677ec39e55d9dca2b9329992ea5d794b4f775aed28717499698cc9683acec9e6,3470,3470,True
fits/rho0_seed11_width64_constant.json,8ad2a5b174dcc1e789a940ddf652de9f28a4c5540619288e76225190efb606a9,8ad2a5b174dcc1e789a940ddf652de9f28a4c5540619288e76225190efb606a9,3554,3554,True
fits/rho0_seed12_width64_constant.json,0743060061d42bd09d9442f8a345f83a6b226de26443e915fc0881407b205c63,0743060061d42bd09d9442f8a345f83a6b226de26443e915fc0881407b205c63,3564,3564,True
fits/rho0_seed13_width64_constant.json,6449401721373841334cf7906d72f5c13d2b52adf328c7110263c7e18802098a,6449401721373841334cf7906d72f5c13d2b52adf328c7110263c7e18802098a,3513,3513,True
fits/rho0_seed14_width64_constant.json,b578ba28bcbdf4ca2553d911e05a52ed0e01d49530a2badef82488d68e88913d,b578ba28bcbdf4ca2553d911e05a52ed0e01d49530a2badef82488d68e88913d,3510,3510,True
fits/rho0_seed15_width64_constant.json,7170542d1dab067a21a092bcd78b669e24ed72043fd005df0485743152a9f538,7170542d1dab067a21a092bcd78b669e24ed72043fd005df0485743152a9f538,3528,3528,True
fits/rho0_seed16_width64_constant.json,2b0d5599f301af8f6c600b413519a04e2d3972306e9bb356bf98ad501b9567ae,2b0d5599f301af8f6c600b413519a04e2d3972306e9bb356bf98ad501b9567ae,3416,3416,True
fits/rho0_seed17_width64_constant.json,5086fd7667f2ba70daff7d13ebc1a155948b32c6b8ef1591d1473d197de8bec2,5086fd7667f2ba70daff7d13ebc1a155948b32c6b8ef1591d1473d197de8bec2,3502,3502,True
fits/rho0_seed18_width64_constant.json,25b49ce668d97f79d6cb44933017ee64b926a821a171e0b1b64dcb4e4d5473cb,25b49ce668d97f79d6cb44933017ee64b926a821a171e0b1b64dcb4e4d5473cb,3394,3394,True
fits/rho0_seed19_width64_constant.json,91c71123f633880241a247e975ccd59f4daebbf11d108c1ad15d5da961c6062a,91c71123f633880241a247e975ccd59f4daebbf11d108c1ad15d5da961c6062a,3548,3548,True
